,first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,points_per_game,value_season,chance_of_playing_this_round,chance_of_playing_next_round,transfers_in_event,transfers_out_event,news,news_added,influence,influence_rank,creativity,creativity_rank,threat,threat_rank,ict_index,ict_index_rank,status,total_points,position,overall_strength_home,overall_strength_away,strength_atk_home,strength_atk_away,strength_def_home,strength_def_away,file_date,total_time_played,value
0,Bernd,Leno,Arsenal,1,0.8,45,360,80974,2.5,2.2,100.0,100.0,0,0,,2022-02-11T08:00:15.144286Z,85.0,406,0.0,618,0.0,601,8.5,443,a,10,Goalkeeper,1250,1270,1150,1210,1190,1220,2022-06-17,400.0,2.2
3,Pierre-Emerick,Aubameyang,Arsenal,4,1.2,96,1036,742898,3.1,4.6,0.0,0.0,0,0,Left club by mutual consent,2022-02-02T08:21:28.428217Z,217.6,301,132.4,260,582.0,61,92.9,182,u,44,Forward,1250,1270,1150,1210,1190,1220,2022-06-17,1151.111111111111,4.6
4,Cédric,Soares,Arsenal,2,0.4,42,1481,66997,2.3,11.4,100.0,100.0,0,0,,2022-01-13T23:00:13.573747Z,318.4,234,327.1,127,111.0,290,75.8,232,a,48,Defender,1250,1270,1150,1210,1190,1220,2022-06-17,1645.5555555555557,11.4
5,Alexandre,Lacazette,Arsenal,4,3.1,81,1773,1729889,3.0,11.1,100.0,100.0,0,0,,2022-04-15T13:30:18.009482Z,376.6,193,386.2,103,731.0,44,148.5,67,a,90,Forward,1250,1270,1150,1210,1190,1220,2022-06-17,1970.0,11.1
6,Granit,Xhaka,Arsenal,3,0.4,48,2327,49300,2.2,12.5,100.0,100.0,0,0,,2022-01-10T00:00:11.840953Z,395.4,182,522.9,58,262.0,173,118.2,115,a,60,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,2585.5555555555557,12.5
7,Pablo,Marí,Arsenal,2,0.1,42,180,5760,0.5,0.2,0.0,0.0,0,0,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,55.4,422,12.3,429,11.0,421,7.9,447,u,1,Defender,1250,1270,1150,1210,1190,1220,2022-06-17,200.0,0.2
10,Mohamed Naser,El Sayed Elneny,Arsenal,3,0.4,44,801,46697,1.9,6.1,100.0,100.0,0,0,,2022-01-01T17:00:18.558719Z,163.2,348,131.5,262,49.0,360,34.4,348,a,27,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,890.0,6.1
11,Ainsley,Maitland-Niles,Arsenal,3,0.0,52,263,4745,1.5,2.3,0.0,0.0,0,0,Season-long loan to Roma,2022-01-10T11:28:00.855474Z,42.6,438,41.3,369,9.0,428,9.3,437,u,12,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,292.22222222222223,2.3
12,Rob,Holding,Arsenal,2,0.8,41,840,111354,1.9,7.1,100.0,100.0,0,0,,2022-05-12T22:00:11.605291Z,253.0,275,8.6,442,49.0,359,31.1,361,a,29,Defender,1250,1270,1150,1210,1190,1220,2022-06-17,933.3333333333334,7.1
13,Thomas,Partey,Arsenal,3,0.2,50,2027,92507,3.0,14.2,25.0,100.0,0,0,,2022-04-04T22:30:18.034453Z,359.6,207,275.5,154,394.0,116,103.0,148,a,71,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,2252.222222222222,14.2
14,Kieran,Tierney,Arsenal,2,4.7,49,1916,2015908,4.8,21.6,0.0,100.0,0,0,,2022-04-04T22:30:18.048398Z,365.2,200,335.9,121,198.0,215,90.1,194,a,106,Defender,1250,1270,1150,1210,1190,1220,2022-06-17,2128.8888888888887,21.6
15,Nicolas,Pépé,Arsenal,3,0.7,69,681,138606,2.2,6.5,100.0,100.0,0,0,,2022-04-04T22:30:18.062274Z,149.4,357,216.9,189,400.0,114,76.3,228,a,45,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,756.6666666666666,6.5
17,Edward,Nketiah,Arsenal,4,11.5,57,823,1215172,2.6,9.6,100.0,100.0,0,0,,2021-08-08T18:00:05.173437Z,249.2,280,165.2,229,408.0,110,82.1,209,a,55,Forward,1250,1270,1150,1210,1190,1220,2022-06-17,914.4444444444443,9.6
18,Emile,Smith Rowe,Arsenal,3,10.0,57,1909,3951517,3.8,21.9,100.0,100.0,0,0,,2022-03-07T09:30:13.243078Z,555.8,108,453.3,81,576.0,63,158.4,59,a,125,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,2121.1111111111113,21.9
19,Bukayo,Saka,Arsenal,3,28.8,67,2978,5143893,4.7,26.7,100.0,100.0,0,0,,2022-04-23T22:00:12.451183Z,790.4,25,977.8,7,1434.0,5,320.0,4,a,179,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,3308.8888888888887,26.7
20,Gabriel,Magalhães,Arsenal,2,7.4,53,3063,1601760,4.2,27.5,100.0,100.0,0,0,,2022-05-12T22:30:11.270330Z,746.8,35,131.6,261,470.0,88,134.7,82,a,146,Defender,1250,1270,1150,1210,1190,1220,2022-06-17,3403.333333333333,27.5
23,Gabriel Teodoro,Martinelli Silva,Arsenal,3,3.1,53,1855,1425921,3.8,20.8,100.0,100.0,0,0,,2022-02-10T23:30:16.705628Z,475.8,135,483.3,70,786.0,35,174.7,49,a,110,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,2061.111111111111,20.8
25,Ben,White,Arsenal,2,12.4,46,2880,1839917,3.3,23.3,100.0,100.0,0,0,,2022-05-01T21:00:13.854536Z,592.8,84,182.3,213,150.0,245,92.5,184,a,107,Defender,1250,1270,1150,1210,1190,1220,2022-06-17,3200.0,23.3
26,Nuno,Varela Tavares,Arsenal,2,1.0,43,1169,190787,2.2,11.4,,,0,0,,,201.0,312,188.2,209,221.0,194,61.1,267,a,49,Defender,1250,1270,1150,1210,1190,1220,2022-06-17,1298.888888888889,11.4
27,Albert,Sambi Lokonga,Arsenal,3,0.1,48,1129,21915,1.7,6.7,100.0,100.0,0,0,,2021-12-18T22:30:10.850943Z,192.4,317,263.4,161,108.0,297,56.3,285,a,32,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,1254.4444444444443,6.7
28,Folarin,Balogun,Arsenal,4,0.2,47,69,62383,1.0,0.4,0.0,0.0,0,0,Joined Middlesbrough on loan until the end of the season,2022-01-10T00:00:13.526321Z,4.2,496,3.7,453,17.0,413,1.9,492,u,2,Forward,1250,1270,1150,1210,1190,1220,2022-06-17,76.66666666666667,0.4
29,Reiss,Nelson,Arsenal,3,0.0,50,19,468,1.0,0.2,0.0,0.0,0,0,Joined Feyenoord on a season-long loan - Expected back 01 Jul,2021-08-31T17:00:07.058892Z,4.0,499,11.6,431,20.0,404,3.6,468,u,1,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,21.11111111111111,0.2
31,Martin,Ødegaard,Arsenal,3,6.0,56,2782,1592680,3.6,23.4,100.0,100.0,0,0,,2022-01-13T23:00:14.935017Z,676.6,58,1073.2,5,639.0,53,238.2,22,a,131,Midfielder,1250,1270,1150,1210,1190,1220,2022-06-17,3091.1111111111113,23.4
32,Aaron,Ramsdale,Arsenal,1,17.1,51,3060,2974404,4.0,26.5,100.0,100.0,0,0,,2022-03-19T16:30:14.923927Z,690.2,56,1.0,472,0.0,712,69.0,251,a,135,Goalkeeper,1250,1270,1150,1210,1190,1220,2022-06-17,3400.0,26.5
34,Takehiro,Tomiyasu,Arsenal,2,1.9,45,1680,831427,3.6,16.7,50.0,100.0,0,0,,2022-05-16T23:30:12.276522Z,312.4,237,240.9,176,110.0,294,66.4,259,a,75,Defender,1250,1270,1150,1210,1190,1220,2022-06-17,1866.6666666666667,16.7
46,Calum,Chambers,Aston Villa,2,0.4,42,999,49077,3.2,10.0,100.0,100.0,0,0,,2022-01-13T23:00:13.596699Z,250.6,277,53.1,350,63.0,341,36.7,341,a,42,Defender,1090,1100,1140,1110,1090,1090,2022-06-17,1110.0,10.0
47,Jed,Steer,Aston Villa,1,1.7,39,90,325469,1.0,0.3,0.0,0.0,0,0,Joined Luton Town on loan until the end of the season - Expected back 01 Jul,2022-01-31T18:00:10.386198Z,8.2,486,0.0,507,0.0,473,0.8,501,u,1,Goalkeeper,1090,1100,1140,1110,1090,1090,2022-06-17,100.0,0.3
49,Emiliano,Martínez,Aston Villa,1,11.4,55,3240,774970,3.6,23.5,100.0,100.0,0,0,,2021-10-13T23:00:12.628419Z,755.8,33,0.0,723,0.0,722,75.4,233,a,129,Goalkeeper,1090,1100,1140,1110,1090,1090,2022-06-17,3600.0,23.5
51,Bertrand,Traoré,Aston Villa,3,0.3,57,212,14574,1.4,2.3,100.0,100.0,0,0,,2022-04-22T12:30:16.685215Z,21.0,464,10.6,436,90.0,315,11.8,425,a,13,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,235.55555555555557,2.3
52,Morgan,Sanson,Aston Villa,3,0.0,50,349,2674,1.3,2.6,100.0,100.0,0,0,,2022-04-22T12:30:16.704350Z,52.8,426,36.6,374,3.0,444,9.4,434,a,13,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,387.77777777777777,2.6
53,John,McGinn,Aston Villa,3,1.1,56,3090,347733,3.1,19.6,100.0,100.0,0,0,,2022-01-02T21:00:19.751877Z,700.2,51,777.8,15,307.0,148,178.6,44,a,110,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,3433.3333333333335,19.6
54,Kortney,Hause,Aston Villa,2,0.2,44,397,40715,2.9,4.5,0.0,100.0,0,0,,2022-04-22T12:30:16.721971Z,102.8,388,5.9,446,64.0,339,17.3,407,a,20,Defender,1090,1100,1140,1110,1090,1090,2022-06-17,441.11111111111114,4.5
55,Mahmoud Ahmed,Ibrahim Hassan,Aston Villa,3,0.0,54,10,3656,1.0,0.2,0.0,0.0,0,0,Joined Istanbul Basaksehir on loan until the end of the season,2022-01-01T17:00:18.616625Z,1.8,510,2.0,461,10.0,424,1.4,498,u,1,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,11.11111111111111,0.2
56,Tyrone,Mings,Aston Villa,2,6.9,50,3188,1115956,3.3,23.6,100.0,100.0,0,0,,2021-12-27T01:30:11.125924Z,667.2,61,130.9,263,309.0,147,110.6,132,a,118,Defender,1090,1100,1140,1110,1090,1090,2022-06-17,3542.2222222222226,23.6
57,Ollie,Watkins,Aston Villa,4,9.1,75,2950,3499976,3.7,17.5,100.0,100.0,0,0,,2022-05-10T23:30:11.642937Z,613.8,75,469.6,73,1345.0,7,242.9,21,a,131,Forward,1090,1100,1140,1110,1090,1090,2022-06-17,3277.777777777778,17.5
58,Marvelous,Nakamba,Aston Villa,3,0.1,44,899,25124,1.4,5.0,100.0,100.0,0,0,,2021-12-13T15:00:10.417277Z,139.2,363,42.2,367,0.0,577,18.3,405,a,22,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,998.8888888888889,5.0
59,Emiliano,Buendía Stati,Aston Villa,3,1.3,61,1887,245664,3.1,17.5,100.0,100.0,0,0,,2022-02-10T01:00:14.690772Z,482.8,129,660.5,29,531.0,72,167.8,53,a,107,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,2096.6666666666665,17.5
60,Matthew,Cash,Aston Villa,2,11.5,53,3377,2025221,3.9,27.7,100.0,100.0,0,0,,2021-10-18T09:00:15.283229Z,754.8,34,432.1,86,534.0,70,172.1,50,a,147,Defender,1090,1100,1140,1110,1090,1090,2022-06-17,3752.2222222222226,27.7
61,Ezri,Konsa Ngoyo,Aston Villa,2,0.9,49,2477,239492,2.7,15.9,0.0,0.0,0,0,Knee injury - Expected back 04 Sep,2022-05-15T21:30:12.292308Z,428.2,161,56.5,347,251.0,178,73.4,239,i,78,Defender,1090,1100,1140,1110,1090,1090,2022-06-17,2752.222222222222,15.9
63,Wesley,Moraes,Aston Villa,4,0.1,54,1,9629,1.0,0.2,0.0,0.0,0,0,Season-long loan to Club Brugge,2021-09-13T08:02:12.064717Z,0.0,722,0.5,485,0.0,717,0.0,722,u,1,Forward,1090,1100,1140,1110,1090,1090,2022-06-17,1.1111111111111112,0.2
65,Keinan,Davis,Aston Villa,4,1.4,45,11,347758,1.0,0.2,0.0,0.0,0,0,Joined Nottingham Forest on a season-long loan - Expected back 01 Jul,2022-01-03T09:00:17.242336Z,0.4,514,1.0,470,0.0,625,0.1,518,u,1,Forward,1090,1100,1140,1110,1090,1090,2022-06-17,12.222222222222221,0.2
66,Douglas Luiz,Soares de Paulo,Aston Villa,3,1.9,43,2715,621406,2.6,20.7,100.0,100.0,0,0,,2021-11-01T00:00:12.434721Z,503.2,123,547.9,48,199.0,213,125.1,101,a,89,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,3016.666666666667,20.7
67,Jacob,Ramsey,Aston Villa,3,4.9,47,2465,1608958,3.2,23.2,100.0,100.0,0,0,,2022-05-06T10:30:11.083932Z,538.2,114,334.0,122,432.0,105,130.7,92,a,109,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,2738.888888888889,23.2
68,Ashley,Young,Aston Villa,2,0.5,47,1234,77403,2.1,10.6,100.0,100.0,0,0,,2021-12-17T14:30:13.768260Z,187.4,325,201.9,197,113.0,288,50.2,308,a,50,Defender,1090,1100,1140,1110,1090,1090,2022-06-17,1371.111111111111,10.6
69,Lucas,Digne,Aston Villa,2,5.9,50,2440,1209188,2.9,16.6,100.0,100.0,0,0,,2022-04-09T21:30:16.312456Z,538.8,113,772.7,16,202.0,209,151.6,64,a,83,Defender,1090,1100,1140,1110,1090,1090,2022-06-17,2711.111111111111,16.6
70,Danny,Ings,Aston Villa,4,9.3,77,1891,1796002,3.5,13.8,100.0,100.0,0,0,,2021-11-30T14:30:14.844783Z,448.6,152,210.9,190,749.0,41,140.3,78,a,106,Forward,1090,1100,1140,1110,1090,1090,2022-06-17,2101.1111111111113,13.8
71,Leon,Bailey,Aston Villa,3,0.4,63,750,82553,2.1,5.9,25.0,100.0,0,0,,2022-04-30T18:30:21.295060Z,143.2,360,118.5,272,271.0,168,53.2,300,a,37,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,833.3333333333334,5.9
73,Jaden,Philogene-Bidace,Aston Villa,3,0.0,50,4,1105,1.0,0.2,0.0,0.0,0,0,Joined Stoke City on loan until the end of the season - Expected back 01 Jul,2022-01-21T13:30:20.197682Z,0.0,717,0.0,716,0.0,710,0.0,717,u,1,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,4.444444444444445,0.2
74,Carney,Chukwuemeka,Aston Villa,3,0.1,45,291,8866,1.3,3.6,100.0,100.0,0,0,,2022-03-04T15:00:14.904289Z,44.0,434,34.6,376,69.0,330,14.9,416,a,16,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,323.3333333333333,3.6
75,Cameron,Archer,Aston Villa,4,0.8,45,24,271066,1.0,0.7,0.0,0.0,0,0,Joined Preston on loan until the end of the season - Expected back 01 Jul,2022-01-24T22:30:12.618160Z,0.0,657,0.8,475,18.0,408,1.6,496,u,3,Forward,1090,1100,1140,1110,1090,1090,2022-06-17,26.666666666666668,0.7
78,Tim,Iroegbunam,Aston Villa,3,0.0,45,90,679,1.3,0.9,,,0,0,,,10.6,482,2.0,460,4.0,442,1.7,494,a,4,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,100.0,0.9
81,Philippe,Coutinho Correia,Aston Villa,3,10.6,71,1327,3249482,4.4,11.7,,,0,0,,,360.8,206,349.3,117,445.0,97,115.7,120,a,83,Midfielder,1090,1100,1140,1110,1090,1090,2022-06-17,1474.4444444444443,11.7
83,Robin,Olsen,Aston Villa,1,0.0,40,90,3876,1.0,0.2,,,0,0,,,18.8,469,0.0,526,0.0,493,1.9,490,a,1,Goalkeeper,1090,1100,1140,1110,1090,1090,2022-06-17,100.0,0.2
86,Pontus,Jansson,Brentford,2,7.0,45,3321,1557057,3.3,27.1,100.0,100.0,0,0,,2022-04-11T08:30:15.308412Z,782.0,26,67.2,327,476.0,87,133.0,85,a,122,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,3690.0,27.1
87,Christian,Nørgaard,Brentford,3,0.6,50,3054,212491,2.9,20.2,100.0,100.0,0,0,,2022-04-23T22:00:12.502516Z,694.8,54,409.8,94,434.0,103,154.3,63,a,101,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,3393.333333333333,20.2
88,Ivan,Toney,Brentford,4,18.8,69,2908,4035001,4.2,20.1,100.0,100.0,0,0,,2022-02-10T01:00:14.772875Z,717.8,46,573.6,45,1320.0,8,260.7,14,a,139,Forward,1090,1100,1120,1150,1080,1120,2022-06-17,3231.111111111111,20.1
89,Tariqe,Fosu-Henry,Brentford,3,0.0,51,16,2458,1.0,0.2,100.0,100.0,0,0,,2021-11-30T17:30:16.450591Z,5.2,492,4.8,450,21.0,398,3.1,475,a,1,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,17.77777777777778,0.2
90,David,Raya Martin,Brentford,1,4.6,44,2160,1150280,4.0,21.6,100.0,100.0,0,0,,2021-10-26T22:00:11.833421Z,593.4,83,10.0,440,0.0,574,60.1,269,a,95,Goalkeeper,1090,1100,1120,1150,1080,1120,2022-06-17,2400.0,21.6
91,Sergi,Canós,Brentford,3,1.0,55,2077,419588,2.6,14.7,100.0,0.0,0,0,Suspended until 13 Aug,2022-05-23T11:00:07.467170Z,386.4,190,283.6,149,439.0,102,111.0,130,s,81,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,2307.777777777778,14.7
